Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions,Age_Group,Age Group
2022-09-02 04:56:56,40.5,I do not use a streaming service.,5.0,True,False,False,Rock,False,No,180.0,2,1,0,2,0,0,1,0,0,0,2,1,1,0,3,1,1.0,2.0,1.0,0.0,No effect,I understand.,36-45,36-45
2022-09-02 05:21:18,40.5,YouTube Music,8.0,True,False,False,Rock,True,No,70.0,2,2,1,1,0,0,1,0,1,1,0,2,1,0,2,0,2.0,1.0,2.0,2.0,Improve,I understand.,36-45,36-45
2022-09-02 06:20:43,24.0,YouTube Music,1.0,True,False,False,Folk,False,Yes,103.0,2,0,3,3,1,2,2,1,1,3,1,2,1,2,3,3,10.0,10.0,7.0,8.0,Improve,I understand.,19-25,19-25
2022-09-02 06:41:49,19.0,Spotify,8.0,True,False,False,Pop,True,Yes,99.0,1,2,2,3,0,3,0,3,2,1,1,3,2,3,3,1,7.0,2.0,1.0,6.0,Improve,I understand.,19-25,19-25
2022-09-02 07:13:38,40.5,Apple Music,8.0,True,False,False,Pop,True,No,117.0,2,1,1,2,0,2,2,1,1,1,2,2,2,2,2,0,6.0,4.0,1.0,0.0,Improve,I understand.,36-45,36-45
2022-09-02 07:13:53,20.0,Spotify,1.0,False,False,False,EDM,True,No,102.0,1,0,3,0,0,2,0,1,1,3,1,3,0,0,0,0,5.0,9.0,6.0,1.0,Improve,I understand.,19-25,19-25
2022-09-02 07:29:17,19.0,I do not use a streaming service.,1.0,True,True,False,Video game music,False,No,127.0,3,0,0,1,1,2,2,1,1,3,0,2,2,1,1,3,7.0,5.0,7.0,0.0,Improve,I understand.,19-25,19-25
2022-09-02 07:53:55,20.0,Spotify,8.0,True,False,False,Jazz,True,Yes,93.0,1,2,1,3,0,2,3,1,2,3,0,2,1,2,2,1,7.0,6.0,7.0,4.0,Improve,I understand.,19-25,19-25
2022-09-02 08:06:29,40.5,Apple Music,6.0,True,False,False,R&B,False,Yes,146.0,1,1,0,1,1,1,1,1,2,0,0,2,3,0,2,0,3.0,5.0,0.0,2.0,No effect,I understand.,36-45,36-45
2022-09-02 09:15:48,28.0,Spotify,3.0,False,True,True,Metal,True,Yes,34.0,3,0,1,2,1,1,3,1,2,3,3,1,2,0,3,3,8.0,8.0,5.0,2.0,Improve,I understand.,26-35,26-35
2022-09-02 09:25:05,18.0,I do not use a streaming service.,4.0,True,True,False,EDM,False,Yes,150.0,3,0,3,0,0,0,1,0,0,1,0,2,0,1,1,2,8.0,7.0,10.0,6.0,Improve,I understand.,0-18,0-18
2022-09-02 09:54:23,40.5,Spotify,2.0,True,False,False,Rock,False,Yes,85.0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,2,1,2.0,4.0,5.0,2.0,Improve,I understand.,36-45,36-45
2022-09-02 14:09:04,40.5,I do not use a streaming service.,3.0,True,True,False,Classical,False,No,122.0,3,1,0,1,0,0,1,1,0,1,1,2,0,0,0,2,7.0,3.0,9.0,2.0,Improve,I understand.,36-45,36-45
